precio,ubicacion,tamanio,direccion,colonia,alcaldia
29900," Jose Maria Castorena 232,  El Yaqui, Cuajimalpa de Morelos",802, Jose Maria Castorena 232,  El Yaqui, Cuajimalpa de Morelos
18000," Montecito 38,  Nápoles, Benito Juárez",40, Montecito 38,  Nápoles, Benito Juárez
70000," PALMA 34,  Centro , Cuauhtémoc",47, PALMA 34,  Centro , Cuauhtémoc
38000," CTO. Interior Melchor Ocampo ,  Cuauhtémoc, Cuauhtémoc",582, CTO. Interior Melchor Ocampo ,  Cuauhtémoc, Cuauhtémoc
16000," division del norte 515,  Del Valle Norte, Benito Juárez",181, division del norte 515,  Del Valle Norte, Benito Juárez
12000," Bolivar 1025 B,  Niños Héroes, Benito Juárez",33, Bolivar 1025 B,  Niños Héroes, Benito Juárez
18800," Miguel Angel de Quevedo 1014, Parque San Andrés, Coyoacán,  Parque San Andrés, Coyoacán",32, Miguel Angel de Quevedo 1014, Parque San Andrés," Coyoacán,  Parque San Andrés, Coyoacán"
50000," AV. DE LA PAZ 40,  San Ángel, Alvaro Obregón",66, AV. DE LA PAZ 40,  San Ángel, Alvaro Obregón
34330," Calz. La Viga 680,  Zapotla, Iztacalco",651, Calz. La Viga 680,  Zapotla, Iztacalco
8500," Marcelino Dávalos 53, Col. Algarín,  Algarín, Cuauhtémoc",151, Marcelino Dávalos 53, Col. Algarín,"  Algarín, Cuauhtémoc"
50000," Avenida de las Palmas 1065,  Lomas de Chapultepec, Miguel Hidalgo",291, Avenida de las Palmas 1065,  Lomas de Chapultepec, Miguel Hidalgo
13500," EMPRESA ,  Insurgentes Mixcoac, Benito Juárez",27, EMPRESA ,  Insurgentes Mixcoac, Benito Juárez
22500," ,  Federal, Venustiano Carranza",80, ,  Federal, Venustiano Carranza
24900," División del Norte 327,  Del Valle Centro, Benito Juárez",50, División del Norte 327,  Del Valle Centro, Benito Juárez
13500," Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan",30, Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan
1," Av. Rio Churubusco 1072,  Nueva Rosita, Iztapalapa",50960, Av. Rio Churubusco 1072,  Nueva Rosita, Iztapalapa
62000," Avenida Baja California 295,  Condesa, Cuauhtémoc",56, Avenida Baja California 295,  Condesa, Cuauhtémoc
16000," calzada vallejo 1657,  Ampliación Progreso Nacional, Gustavo A. Madero",80, calzada vallejo 1657,  Ampliación Progreso Nacional, Gustavo A. Madero
23000," MONTECITO 38,  Nápoles, Benito Juárez",36, MONTECITO 38,  Nápoles, Benito Juárez
8500000," Montecito,  Nápoles, Benito Juárez",59, Montecito,  Nápoles, Benito Juárez
15000," gabriel mancera 941,  Del Valle Centro, Benito Juárez",12, gabriel mancera 941,  Del Valle Centro, Benito Juárez
20000," AVENIDA AQUILES SERDAN 400,  Nextengo, Azcapotzalco",24, AVENIDA AQUILES SERDAN 400,  Nextengo, Azcapotzalco
12600," calle 21 256,  Pro-Hogar, Azcapotzalco",80, calle 21 256,  Pro-Hogar, Azcapotzalco
63000," Alejandro Dumas ,  Polanco IV Sección, Polanco",73, Alejandro Dumas ,  Polanco IV Sección, Polanco
11902," Verónica Anzures,  Verónica Anzures, Miguel Hidalgo",36, Verónica Anzures,  Verónica Anzures, Miguel Hidalgo
28541," Renta de Local Comercial en Cuajimalpa,  Manzanastitla, Cuajimalpa de Morelos",77, Renta de Local Comercial en Cuajimalpa,  Manzanastitla, Cuajimalpa de Morelos
9500," Sagredo 170,  San José Insurgentes, Benito Juárez",17, Sagredo 170,  San José Insurgentes, Benito Juárez
20000," Del carmen, Coyoacan ,  Del Carmen, Coyoacán",401, Del carmen, Coyoacan ,"  Del Carmen, Coyoacán"
10000," orion,  Prado Churubusco, Coyoacán",18, orion,  Prado Churubusco, Coyoacán
31236," av montevideo 363 colonia lindavista,  Lindavista, Gustavo A. Madero",312, av montevideo 363 colonia lindavista,  Lindavista, Gustavo A. Madero
12000,"  Av. Universidad ,  Letrán Valle, Benito Juárez",50,  Av. Universidad ,  Letrán Valle, Benito Juárez
16000," cafetales 1792,  Haciendas de Coyoacán, Coyoacán",6811, cafetales 1792,  Haciendas de Coyoacán, Coyoacán
11000," Calz Taxqueña ,  San Francisco CulhuacAn Barrio , Coyoacán",401, Calz Taxqueña ,  San Francisco CulhuacAn Barrio , Coyoacán
35000," Medellín y Querétaro ,  Roma Norte, Cuauhtémoc",75, Medellín y Querétaro ,  Roma Norte, Cuauhtémoc
13475," Ricardo Flores Magon,  Santa María la Ribera, Cuauhtémoc",771, Ricardo Flores Magon,  Santa María la Ribera, Cuauhtémoc
8000," Avenida Miguel Ángel de Quevedo 353,  Romero de Terreros, Coyoacán",15, Avenida Miguel Ángel de Quevedo 353,  Romero de Terreros, Coyoacán
7500," calle guijas ,  La Cascada, Alvaro Obregón",20, calle guijas ,  La Cascada, Alvaro Obregón
15000," Petén 134 ,  Narvarte Oriente, Benito Juárez",42, Petén 134 ,  Narvarte Oriente, Benito Juárez
9000," Vulcanización 70,  5o Tramo 20 de Noviembre, Venustiano Carranza",562, Vulcanización 70,  5o Tramo 20 de Noviembre, Venustiano Carranza
14000," AV. REVOLUCION  ,  La Otra Banda, Coyoacán",19, AV. REVOLUCION  ,  La Otra Banda, Coyoacán
45000," CHAPULTEPEC 360,  Roma Norte, Cuauhtémoc",662, CHAPULTEPEC 360,  Roma Norte, Cuauhtémoc
14200," Avenida Centenario 400,  Merced Gómez, Alvaro Obregón",5612, Avenida Centenario 400,  Merced Gómez, Alvaro Obregón
25000," Lomas de Chamizal,  Lomas del Chamizal, Cuajimalpa de Morelos",7011, Lomas de Chamizal,  Lomas del Chamizal, Cuajimalpa de Morelos
32000," FELIX CUEVAS,  Del Valle Centro, Benito Juárez",75, FELIX CUEVAS,  Del Valle Centro, Benito Juárez
12000," Pípila  82,  Guadalupe del Moral, Iztapalapa",551, Pípila  82,  Guadalupe del Moral, Iztapalapa
18000," EMILIO CARRANZA # 6 ,  Santa Anita, Iztacalco",79, EMILIO CARRANZA # 6 ,  Santa Anita, Iztacalco
10500," Corregidora 115 A-2, Barrio Caramaguey, Tlalpan,  Barrio de Caramagüey, Tlalpan",50, Corregidora 115 A-2, Barrio Caramaguey," Tlalpan,  Barrio de Caramagüey, Tlalpan"
16500," Patriotismo,  Nápoles, Benito Juárez",50, Patriotismo,  Nápoles, Benito Juárez
25000," GOYA,  Insurgentes Mixcoac, Benito Juárez",4510, GOYA,  Insurgentes Mixcoac, Benito Juárez
1785," Vasco de Quiroga 5000,  Contadero, Cuajimalpa de Morelos",51, Vasco de Quiroga 5000,  Contadero, Cuajimalpa de Morelos
20000," Campeche,  Hipódromo Condesa, Cuauhtémoc",21, Campeche,  Hipódromo Condesa, Cuauhtémoc
10440," TEHUANTEPEC ,  Roma Sur, Cuauhtémoc",15, TEHUANTEPEC ,  Roma Sur, Cuauhtémoc
4800," Av. Azcapotzalco 696,  Centro de Azcapotzalco, Azcapotzalco",12, Av. Azcapotzalco 696,  Centro de Azcapotzalco, Azcapotzalco
16000," carolina 113, col. nochebuena,  Nochebuena, Benito Juárez",27, carolina 113, col. nochebuena,"  Nochebuena, Benito Juárez"
29000," Rio Nazas 67,  Cuauhtémoc, Cuauhtémoc",502, Rio Nazas 67,  Cuauhtémoc, Cuauhtémoc
8000," RODOLFO USIGLI,  Escuadrón 201, Iztapalapa",25, RODOLFO USIGLI,  Escuadrón 201, Iztapalapa
6500," Jacobo Watt 64,  San Simón Culhuacán, Iztapalapa",765, Jacobo Watt 64,  San Simón Culhuacán, Iztapalapa
10000," EJIDO DE SANTA BARBARA ,  Ex-Ejido de San Francisco CulhuacAn, Coyoacán",30, EJIDO DE SANTA BARBARA ,  Ex-Ejido de San Francisco CulhuacAn, Coyoacán
18000," Av. San Jerónimo,  San Jerónimo Lídice, La Magdalena Contreras",80, Av. San Jerónimo,  San Jerónimo Lídice, La Magdalena Contreras
2750000," Tonalá,  Roma Norte, Cuauhtémoc",50, Tonalá,  Roma Norte, Cuauhtémoc
10000," AVENIDA AQUILES SERDAN 400,  Nextengo, Azcapotzalco",42, AVENIDA AQUILES SERDAN 400,  Nextengo, Azcapotzalco
30000," Av. Clavería,  Clavería, Azcapotzalco",55, Av. Clavería,  Clavería, Azcapotzalco
12000," Tihuatlán No. 10 ,  San Jerónimo Aculco, Alvaro Obregón",12, Tihuatlán No. 10 ,  San Jerónimo Aculco, Alvaro Obregón
10800," Corregidora 115 B, Barrio Caramaguey,  Barrio de Caramagüey, Tlalpan",51, Corregidora 115 B, Barrio Caramaguey,"  Barrio de Caramagüey, Tlalpan"
50000," Avenida de las Palmas,  Lomas de Chapultepec, Miguel Hidalgo",291, Avenida de las Palmas,  Lomas de Chapultepec, Miguel Hidalgo
40000," Desierto de los Leones al 5400,  Alcantarilla, Alvaro Obregón",56, Desierto de los Leones al 5400,  Alcantarilla, Alvaro Obregón
8900," AVENIDA JOSE MARIA CASTORENA ,  José Maria Castorena, Cuajimalpa de Morelos",52, AVENIDA JOSE MARIA CASTORENA ,  José Maria Castorena, Cuajimalpa de Morelos
9000," Norte  Colonia Pensador Mexicano Alcaldía Venustiano Carranza,  Pensador Mexicano, Venustiano Carranza",65, Norte  Colonia Pensador Mexicano Alcaldía Venustiano Carranza,  Pensador Mexicano, Venustiano Carranza
17000," Eje Central Lázaro Cárdenas 851,  Narvarte Poniente, Benito Juárez",4431, Eje Central Lázaro Cárdenas 851,  Narvarte Poniente, Benito Juárez
30000," Florencia  33,  Juárez, Cuauhtémoc",22, Florencia  33,  Juárez, Cuauhtémoc
8000," AVENIDA JOSE MARIA CASTORENA 425,  Cuajimalpa, Cuajimalpa de Morelos",30, AVENIDA JOSE MARIA CASTORENA 425,  Cuajimalpa, Cuajimalpa de Morelos
10000," Calz. Chabacano 75, Asturias, Cuauhtémoc, 06890 Ciudad de México, CDMX,  Asturias, Cuauhtémoc",35, Calz. Chabacano 75, Asturias," Cuauhtémoc, 06890 Ciudad de México, CDMX,  Asturias, Cuauhtémoc"
9000," Cerrada Morelos ,  Barrio San Pedro, Xochimilco",30, Cerrada Morelos ,  Barrio San Pedro, Xochimilco
4840," delicias,  Centro , Cuauhtémoc",2, delicias,  Centro , Cuauhtémoc
48000," FRONTERA,  Roma Norte, Cuauhtémoc",45, FRONTERA,  Roma Norte, Cuauhtémoc
18000," AVENIDA UNIVERSIDAD ,  Narvarte Poniente, Benito Juárez",25, AVENIDA UNIVERSIDAD ,  Narvarte Poniente, Benito Juárez
25000," Avenida Paseo de las Palmas,  Lomas de Chapultepec, Miguel Hidalgo",271, Avenida Paseo de las Palmas,  Lomas de Chapultepec, Miguel Hidalgo
12500," Manuel J. Othón ,  Obrera, Cuauhtémoc",40, Manuel J. Othón ,  Obrera, Cuauhtémoc
30000," Lóndres,  Juárez, Cuauhtémoc",70, Lóndres,  Juárez, Cuauhtémoc
12500," TIERRA 12,  Cantil del Pedregal, Coyoacán",60, TIERRA 12,  Cantil del Pedregal, Coyoacán
4500," SUR 81 A,  Cacama, Iztapalapa",91, SUR 81 A,  Cacama, Iztapalapa
21450," Plaza izazaga n. 29, col. Centro, Cuauhtemoc,  Centro , Cuauhtémoc",39, Plaza izazaga n. 29, col. Centro," Cuauhtemoc,  Centro , Cuauhtémoc"
17300," doctor jose maria vertiz 867,  Narvarte Poniente, Benito Juárez",18, doctor jose maria vertiz 867,  Narvarte Poniente, Benito Juárez
42600," Volcán 200,  Polanco, Miguel Hidalgo",71, Volcán 200,  Polanco, Miguel Hidalgo
17000," José María Velasco 80,  San José Insurgentes, Benito Juárez",241, José María Velasco 80,  San José Insurgentes, Benito Juárez
8000000," Justo Sierra 56,  Centro , Cuauhtémoc",57, Justo Sierra 56,  Centro , Cuauhtémoc
41400," Avenida Insurgentes Sur 1700,  Guadalupe Inn, Alvaro Obregón",691, Avenida Insurgentes Sur 1700,  Guadalupe Inn, Alvaro Obregón
35000," VERONICA ANZURES,  Verónica Anzures, Miguel Hidalgo",80, VERONICA ANZURES,  Verónica Anzures, Miguel Hidalgo
8500," Av Santa Lucia 156,  Alfonso XIII, Alvaro Obregón",551, Av Santa Lucia 156,  Alfonso XIII, Alvaro Obregón
60000," Masaryk ,  Polanco, Miguel Hidalgo",8021, Masaryk ,  Polanco, Miguel Hidalgo
25600," RÍO NAZAS,  Cuauhtémoc, Cuauhtémoc",30, RÍO NAZAS,  Cuauhtémoc, Cuauhtémoc
26500," Ricardo Castro 76,  Guadalupe Inn, Alvaro Obregón",80, Ricardo Castro 76,  Guadalupe Inn, Alvaro Obregón
8000," C. Juan E. Hernández y Davalos 119,  Algarín, Cuauhtémoc",111, C. Juan E. Hernández y Davalos 119,  Algarín, Cuauhtémoc
33000," Fray Servando Teresa de Mier,  Jardín Balbuena, Venustiano Carranza",60, Fray Servando Teresa de Mier,  Jardín Balbuena, Venustiano Carranza
16000," TUXPAN ,  Roma Sur, Cuauhtémoc",5031, TUXPAN ,  Roma Sur, Cuauhtémoc
14500," Galerías Plaza de las Estrellas,  Miguel Hidalgo, Ciudad de México",361, Galerías Plaza de las Estrellas,  Miguel Hidalgo, Ciudad de México
30000," Insurgentes Sur,  Florida, Alvaro Obregón",601, Insurgentes Sur,  Florida, Alvaro Obregón
5000," Priv. Venustiano Carranza lT. 4,  Palmatitla, Gustavo A. Madero",70, Priv. Venustiano Carranza lT. 4,  Palmatitla, Gustavo A. Madero
20500," Avenida Hidalgo,  Del Carmen, Coyoacán",18, Avenida Hidalgo,  Del Carmen, Coyoacán
9000," DEL TAPANCO,  Residencial Villa Coapa, Tlalpan",17, DEL TAPANCO,  Residencial Villa Coapa, Tlalpan
12000," FELIX CUEVAS,  Del Valle Sur, Benito Juárez",45, FELIX CUEVAS,  Del Valle Sur, Benito Juárez
40000," Roma norte,  Roma Norte, Cuauhtémoc",55, Roma norte,  Roma Norte, Cuauhtémoc
10000," Sur,  América, Miguel Hidalgo",28, Sur,  América, Miguel Hidalgo
33411," insurgentes sur 859,  Nápoles, Benito Juárez",501, insurgentes sur 859,  Nápoles, Benito Juárez
45000," Av. Río San Joaquín al 6100,  Popo, Miguel Hidalgo",80, Av. Río San Joaquín al 6100,  Popo, Miguel Hidalgo
3000," AV. TLAHUAC 3843,  San Andrés Tomatlán, Iztapalapa",125, AV. TLAHUAC 3843,  San Andrés Tomatlán, Iztapalapa
17000," José María Velasco 80,  San José Insurgentes, Benito Juárez",281, José María Velasco 80,  San José Insurgentes, Benito Juárez
50000," HIPODROMO,  Hipódromo, Cuauhtémoc",50, HIPODROMO,  Hipódromo, Cuauhtémoc
35000," GOYA,  Insurgentes Mixcoac, Benito Juárez",6910, GOYA,  Insurgentes Mixcoac, Benito Juárez
20000," circunvalación 303,  Centro , Cuauhtémoc",48, circunvalación 303,  Centro , Cuauhtémoc
12000," Eje Central Lazaro Cardenas 410,  Portales Norte, Benito Juárez",23, Eje Central Lazaro Cardenas 410,  Portales Norte, Benito Juárez
5600," MONTECITO 38,  Nápoles, Benito Juárez",8, MONTECITO 38,  Nápoles, Benito Juárez
65000," Avenida Baja California 300,  Hipódromo, Cuauhtémoc",56, Avenida Baja California 300,  Hipódromo, Cuauhtémoc
29500," Cascada 500,  Jardines del Pedregal, Alvaro Obregón",2020, Cascada 500,  Jardines del Pedregal, Alvaro Obregón
23000," Eje Central,  Niños Héroes, Benito Juárez",451, Eje Central,  Niños Héroes, Benito Juárez
5700," Eje 2 Poniente Gabriel Mancera,  Del Valle Sur, Benito Juárez",8, Eje 2 Poniente Gabriel Mancera,  Del Valle Sur, Benito Juárez
8000," Manuel Payno ,  Obrera, Cuauhtémoc",35, Manuel Payno ,  Obrera, Cuauhtémoc
16500," Se Renta muy Buen Local en Plaza Comercial, Sobre Av. Luis Cabrera, San Jerónimo Lídice,  San Jerónimo Lídice, La Magdalena Contreras",591, Se Renta muy Buen Local en Plaza Comercial, Sobre Av. Luis Cabrera," San Jerónimo Lídice,  San Jerónimo Lídice, La Magdalena Contreras"
9280," Carretera México-Toluca 5100,  El Yaqui, Cuajimalpa de Morelos",16, Carretera México-Toluca 5100,  El Yaqui, Cuajimalpa de Morelos
13000," Doctor Vertiz al 200,  Doctores, Cuauhtémoc",70, Doctor Vertiz al 200,  Doctores, Cuauhtémoc
14000," Periferico Sur ,  Jardines en la Montaña, Tlalpan",321, Periferico Sur ,  Jardines en la Montaña, Tlalpan
12500," AV. TLAHUAC ,  San Andrés Tomatlán, Iztapalapa",655, AV. TLAHUAC ,  San Andrés Tomatlán, Iztapalapa
45000," Prado Norte 341,  Lomas de Chapultepec, Miguel Hidalgo",602, Prado Norte 341,  Lomas de Chapultepec, Miguel Hidalgo
10440," TEHUANTEPEC ,  Roma Sur, Cuauhtémoc",15, TEHUANTEPEC ,  Roma Sur, Cuauhtémoc
20000," PERIFÉRICO SUR ,  Jardines en la Montaña, Tlalpan",733, PERIFÉRICO SUR ,  Jardines en la Montaña, Tlalpan
62000," Baja California ,  Hipódromo, Cuauhtémoc",60, Baja California ,  Hipódromo, Cuauhtémoc
62000," Baja California ,  Hipódromo, Cuauhtémoc",562, Baja California ,  Hipódromo, Cuauhtémoc
26680," ISABEL LA CATOLICA,  Cuauhtémoc, Cuauhtémoc",23, ISABEL LA CATOLICA,  Cuauhtémoc, Cuauhtémoc
15000," Revillagigedo 84,  Colonia Centro, Cuauhtémoc",50, Revillagigedo 84,  Colonia Centro, Cuauhtémoc
50000," Cerro Tres Zapotes,  Copilco Universidad, Coyoacán",73, Cerro Tres Zapotes,  Copilco Universidad, Coyoacán
33000," Nuevo León 163,  Condesa, Cuauhtémoc",36, Nuevo León 163,  Condesa, Cuauhtémoc
3800," Capiteles 17, Local E, Jardines del sur, Alcaldía Xochimilco,  Jardines del Sur, Xochimilco",10, Capiteles 17, Local E," Jardines del sur, Alcaldía Xochimilco,  Jardines del Sur, Xochimilco"
40000," Schiller, 152,  Polanco, Miguel Hidalgo",45, Schiller, 152,"  Polanco, Miguel Hidalgo"
16000," Golfo de San Lorenzo No. 41 ,  Tacuba, Miguel Hidalgo",61, Golfo de San Lorenzo No. 41 ,  Tacuba, Miguel Hidalgo
17500," Los Girasoles ,  Los Girasoles, Coyoacán",35, Los Girasoles ,  Los Girasoles, Coyoacán
16567," Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",16, Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán
8500," Lago Viedma,  México Nuevo, Miguel Hidalgo",30, Lago Viedma,  México Nuevo, Miguel Hidalgo
15500," Emiliano Zapata s/n,  San Jerónimo Aculco, La Magdalena Contreras",802, Emiliano Zapata s/n,  San Jerónimo Aculco, La Magdalena Contreras
20921," Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",20, Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán
9500," CALZADA DE TLALPAN,  Country Club, Coyoacán",40, CALZADA DE TLALPAN,  Country Club, Coyoacán
40000," Castillo de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo",40, Castillo de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo
45000," Renta Local Dentro DE Centro Comercial Guadalupe INN,  Guadalupe Inn, Alvaro Obregón",69, Renta Local Dentro DE Centro Comercial Guadalupe INN,  Guadalupe Inn, Alvaro Obregón
27017," Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",27, Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo
6000," Av Tlahuac 129,  Santiago Sur, Tláhuac",40, Av Tlahuac 129,  Santiago Sur, Tláhuac
20000," Kelvin S/N,  Anzures, Miguel Hidalgo",80, Kelvin S/N,  Anzures, Miguel Hidalgo
12000," Av Tlahuac 129,  Santiago Sur, Tláhuac",80, Av Tlahuac 129,  Santiago Sur, Tláhuac
14000," Renta Local Cuajimalpa,  Lomas de Vista Hermosa, Cuajimalpa de Morelos",33, Renta Local Cuajimalpa,  Lomas de Vista Hermosa, Cuajimalpa de Morelos
15000," Av. San Bernabé S/N,  San Jerónimo Lídice, La Magdalena Contreras",20, Av. San Bernabé S/N,  San Jerónimo Lídice, La Magdalena Contreras
11000," Carretera Mexico Toluca  al 5000,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",12, Carretera Mexico Toluca  al 5000,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos
27018," Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",29, Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo
15483," Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",16, Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán
7000," Moctezuma 2,  Guerrero, Cuauhtémoc",25, Moctezuma 2,  Guerrero, Cuauhtémoc
17000," Periferico sur ,  Tizapan, Alvaro Obregón",402, Periferico sur ,  Tizapan, Alvaro Obregón
58282," Av. del Peñón,  Moctezuma, Venustiano Carranza",78, Av. del Peñón,  Moctezuma, Venustiano Carranza
13000," 5 de Febrero 462 Loc. 10  Algarín, Cuauhtémoc, 06880 Ciudad de México.,  Algarín, Cuauhtémoc",25, 5 de Febrero 462 Loc. 10  Algarín, Cuauhtémoc," 06880 Ciudad de México.,  Algarín, Cuauhtémoc"
3500," Isabel la Católica ,  Niños Héroes, Benito Juárez",61, Isabel la Católica ,  Niños Héroes, Benito Juárez
36000," LEIBNITZ,  Anzures, Miguel Hidalgo",54, LEIBNITZ,  Anzures, Miguel Hidalgo
45000," Eje Central No. 00,  Obrera, Cuauhtémoc",68, Eje Central No. 00,  Obrera, Cuauhtémoc
